الفريق الاول,الفريق الثاني,ميعاد المبارة,النتيجة
جنوب السودان,جامبيا,16:00,2 - 3
ساو تومي وبرينسيبي,غينيا بيساو,19:00,0 - 0
غينيا,مصر,21:00,0 - 0
هولندا,كرواتيا,21:45,0 - 0
الرجاء البيضاوي,نهضة بركان,22:00,0 - 0
الجيش الملكي,أوليمبيك خريبكه,22:00,0 - 0
أولمبيك آسفي,الفتح الرباطي,22:00,0 - 0
المغرب التطواني,الشباب الرياضي السالمي,22:00,0 - 0
الدفاع الجديدي,مولودية وجدة,22:00,0 - 0
شباب المحمدية,المغرب الفاسي,22:00,0 - 0
الاتحاد التوركي,اتحاد طنجة,22:00,0 - 0
حسنية اغادير,الوداد البيضاوي,22:00,0 - 0
